Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-01,2016,2,1,†,11.0,,1.5,,6.3,,11.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-02,2016,2,2,†,7.5,,-2.5,,2.5,,15.5,,0.0,,6.8,,0.0,,6.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-03,2016,2,3,†,16.0,,-0.5,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-04,2016,2,4,†,3.5,,0.0,,1.8,,16.2,,0.0,,0.0,,0.0,T,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-05,2016,2,5,†,1.5,,-4.0,,-1.3,,19.3,,0.0,,0.0,,0.0,T,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-06,2016,2,6,†,4.0,,-2.0,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-07,2016,2,7,†,5.5,,-3.0,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-08,2016,2,8,†,3.5,,-1.5,,1.0,,17.0,,0.0,,0.0,,0.8,,1.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-09,2016,2,9,†,1.0,,-3.0,,-1.0,,19.0,,0.0,,0.0,,1.6,,2.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-10,2016,2,10,†,-3.0,,-6.0,,-4.5,,22.5,,0.0,,0.0,,0.2,,0.0,T,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-11,2016,2,11,†,-7.5,,-18.0,,-12.8,,30.8,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-12,2016,2,12,†,-4.0,,-13.0,,-8.5,,26.5,,0.0,,0.0,,0.6,,0.6,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-13,2016,2,13,†,-17.5,,-26.5,,-22.0,,40.0,,0.0,,0.0,,0.0,,0.0,,3.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-14,2016,2,14,†,-6.0,,-25.5,,-15.8,,33.8,,0.0,,0.0,,0.0,,0.0,,3.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-15,2016,2,15,†,-1.0,,-15.0,,-8.0,,26.0,,0.0,,0.0,T,4.6,,5.4,,2.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-16,2016,2,16,†,0.0,,-4.0,,-2.0,,20.0,,0.0,,0.0,,4.8,,1.6,,7.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-17,2016,2,17,†,-0.5,,-5.0,,-2.8,,20.8,,0.0,,0.0,,0.0,,0.0,,11.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-18,2016,2,18,†,-0.5,,-18.5,,-9.5,,27.5,,0.0,,0.0,,0.0,,0.0,,10.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-19,2016,2,19,†,8.5,,-12.0,,-1.8,,19.8,,0.0,,1.2,,0.0,,1.2,,9.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-20,2016,2,20,†,12.5,,3.0,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-21,2016,2,21,†,5.5,,1.0,,3.3,,14.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-22,2016,2,22,†,1.5,,-5.5,,-2.0,,20.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-23,2016,2,23,†,2.0,,-7.0,,-2.5,,20.5,,0.0,,0.0,T,1.2,,1.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-24,2016,2,24,†,2.0,,-2.5,,-0.3,,18.3,,0.0,,22.2,,1.8,,24.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-25,2016,2,25,†,0.5,,-3.0,,-1.3,,19.3,,0.0,,0.0,,0.8,,0.8,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-26,2016,2,26,†,-2.5,,-11.5,,-7.0,,25.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-27,2016,2,27,†,4.5,,-6.5,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-28,2016,2,28,†,14.0,,0.5,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-02-29,2016,2,29,†,5.5,,-3.0,,1.3,,16.7,,0.0,,0.0,,0.6,,0.6,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-01,2016,3,1,†,-8.0,,-10.0,,-9.0,,27.0,,0.0,,0.0,,12.0,,12.8,,1.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-02,2016,3,2,†,-4.5,,-11.5,,-8.0,,26.0,,0.0,,0.0,,0.0,T,0.0,T,14.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-03,2016,3,3,†,-3.5,,-11.0,,-7.3,,25.3,,0.0,,0.0,,4.2,,1.0,,12.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-04,2016,3,4,†,0.5,,-9.5,,-4.5,,22.5,,0.0,,0.0,,0.0,,0.0,,14.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-05,2016,3,5,†,1.5,,-8.5,,-3.5,,21.5,,0.0,,0.0,,0.0,T,0.2,,12.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-06,2016,3,6,†,7.0,,-11.5,,-2.3,,20.3,,0.0,,0.0,,0.0,,0.0,,10.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-07,2016,3,7,†,10.5,,-1.0,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,7.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-08,2016,3,8,†,14.5,,2.0,,8.3,,9.7,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-09,2016,3,9,†,19.0,,2.5,,10.8,,7.2,,0.0,,1.4,,0.0,,1.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-10,2016,3,10,†,11.0,,7.5,,9.3,,8.7,,0.0,,2.8,,0.0,,2.8,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-11,2016,3,11,†,9.5,,1.0,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-12,2016,3,12,†,18.0,,-3.5,,7.3,,10.7,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-13,2016,3,13,†,9.0,,2.5,,5.8,,12.2,,0.0,,11.0,,0.0,,11.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-14,2016,3,14,†,8.0,,3.5,,5.8,,12.2,,0.0,,7.0,,0.0,,7.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-15,2016,3,15,†,9.5,,6.0,,7.8,,10.2,,0.0,,0.0,T,0.0,,0.0,T,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-16,2016,3,16,†,13.0,,4.0,,8.5,,9.5,,0.0,,3.4,,0.0,,3.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-17,2016,3,17,†,9.5,,0.0,,4.8,,13.2,,0.0,,1.4,,0.0,,1.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-18,2016,3,18,†,5.5,,2.0,,3.8,,14.2,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-19,2016,3,19,†,4.0,,-6.5,,-1.3,,19.3,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-20,2016,3,20,†,4.5,,-6.5,,-1.0,,19.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-21,2016,3,21,†,4.0,,-4.5,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-22,2016,3,22,†,6.0,,-5.5,,0.3,,17.7,,0.0,,1.4,,0.0,T,1.4,,0.0,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-23,2016,3,23,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-24,2016,3,24,,,,,,,,,,,,,,,,,,,,,,,
-79.47,43.78,TORONTO NORTH YORK,615S001,2016-03-25,2016,3,25,,,,,,,,,,,,,,,,,,,,,,,
