Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-01,2016,1,1,,-0.4,,-3.8,,-2.1,,20.1,,0.0,,0.0,,0.2,,0.2,,1.0,,29.0,,50,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-02,2016,1,2,,,,,,,,,,,,,,,,,,,,,,,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-03,2016,1,3,,,,,,,,,,,,,,,,,,,,,,,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-04,2016,1,4,,-11.6,,-15.8,,-13.7,,31.7,,0.0,,0.0,,0.0,,0.0,,,,2.0,,39,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-05,2016,1,5,,-3.3,,-16.3,,-9.8,,27.8,,0.0,,0.0,,0.0,,0.0,,,,22.0,,32,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-06,2016,1,6,,2.0,,-7.4,,-2.7,,20.7,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-07,2016,1,7,,3.5,,-7.6,,-2.1,,20.1,,0.0,,0.0,,0.0,,0.0,,0.0,T,,,<31,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-08,2016,1,8,,,,,,,,,,,,,,,,,,,,,,,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-09,2016,1,9,,,,,,,,,,,,,,,,,,,,,,,
-79.37,43.86,TORONTO BUTTONVILLE A,6158410,2016-01-10,2016,1,10,,,,,,,,,,,,,,,,,,,,,,,
